post_id,timestamp,text,LIKE,HAHA,SAD,LOVE,ANGRY,WOW,PRIDE
5281959998_10151215928629999,2017-06-28T19:55:00+0000,ABC%20did%20not%20apologize%20or%20retract%20its%20reports%2C%20which%20questioned%20the%20safety%20of%20%22lean%20finely%20textured%20beef%2C%22%20more%20commonly%20known%20as%20%22pink%20slime.%22,117,7,2,3,3,22,0
5281959998_10151217124154999,2017-06-29T15:58:17+0000,The%20deaths%20of%2096%20people%20became%20a%20flash%20point%20in%20the%20public%20debate%20over%20class%2C%20poverty%20and%20government%u2019s%20responsibility%20to%20its%20citizens.,79,0,4,4,0,1,0
5281959998_10151215616564999,2017-06-28T10:55:01+0000,Why%20a%20small%20group%20of%20senators%20blocked%20the%20Republicans%u2019%20biggest%20legislation%20since%20President%20Donald%20J.%20Trump%20took%20office.,159,1,1,7,2,5,0
5281959998_10151215590719999,2017-06-28T09:39:06+0000,A%20cargo%20terminal%20at%20a%20Mumbai%20port%20lurched%20to%20a%20stop.%20Threatening%20text%20filled%20computer%20screens%20at%20a%20chocolate%20factory%20in%20Tasmania.,97,0,10,4,6,18,0
5281959998_10151216659294999,2017-06-29T08:55:01+0000,A%20Hollywood%20agency%20will%20bring%20two%20of%20Kurt%20Cobain%27s%20paintings%20to%20his%20hometown%20for%20the%20Seattle%20Art%20Fair.,118,0,0,13,0,2,0
5281959998_10151214930969999,2017-06-29T05:25:00+0000,There%27s%20a%20feel-good%20personal%20journey%2C%20an%20anarchic%20satire%20and%20a%20valentine%20to%20the%20cinema.,93,0,26,2,1,1,0
5281959998_10151216323669999,2017-06-28T23:55:01+0000,The%20move%20may%20help%20it%20stay%20on%20President%20Trump%27s%20good%20side.,163,16,1,8,2,9,0
5281959998_10151216713964999,2017-06-29T11:25:00+0000,There%20is%20growing%20concern%20that%20U.S.%20intelligence%20agencies%20have%20rushed%20to%20create%20digital%20weapons%20that%20they%20cannot%20keep%20safe.,71,0,2,3,3,11,0
5281959998_10151217129994999,2017-06-29T16:27:00+0000,We%20want%20to%20hear%20from%20you%3A%20Are%20you%20affected%20by%20the%20newest%20iteration%20of%20the%20Donald%20J.%20Trump%20administration%27s%20travel%20ban%3F%0A%0ATo%20clarify%2C%20the%20newest%20guidelines%20banning%20foreign%20visitors%20states%20that%20%22close%20family%22%20does%20not%20include%3A%20grandparents%2C%20grandchildren%2C%20aunts%2C%20uncles%2C%20nieces%2C%20nephews%2C%20cousins%2C%20brothers-in-laws%20and%20sisters-in-law%2C%20fianc%E9s%20and%20any%20other%20%27extended%27%20family%20members%3A%20http%3A//nyti.ms/2u2AzSP,27,3,0,5,4,0,1
5281959998_10151216128504999,2017-06-29T05:55:00+0000,Get%20rich%20quick%3F%20Maybe.,144,2,0,3,2,11,0
5281959998_10151216809219999,2017-06-29T12:21:08+0000,It%20is%20not%20clear%20whether%20Cardinal%20Pell%20will%20be%20coming%20back.,121,10,3,4,56,15,0
5281959998_10151216719269999,2017-06-29T09:44:05+0000,It%20was%20an%20outlandish%20attack%20on%20Venezuela%u2019s%20centers%20of%20power%3A%20A%20police%20helicopter%20swooped%20down%20while%20someone%20inside%20dropped%20grenades%20on%20the%20Supreme%20Court.,108,6,16,1,5,43,0
5281959998_10151216829519999,2017-06-29T14:25:11+0000,The%20Editorial%20Board%20writes%20in%20The%20New%20York%20Times%20Opinion%20Section%3A%20%22The%20premise%20of%20incessant%20Republican%20tax%20cutting%20is%20that%20the%20system%20robs%20the%20rich%20to%20lavish%20benefits%20on%20the%20poor.%22,174,2,14,4,50,2,0
5281959998_10151216707519999,2017-06-29T09:32:01+0000,The%20authorities%20have%20fired%20people%20from%20jobs%20promoting%20Kurdish%20culture%2C%20removed%20statues%20of%20Kurdish%20heroes%2C%20shut%20Kurdish%20media%20and%20jailed%20pro-Kurdish%20journalists.,67,3,32,1,70,5,0
5281959998_10151216773209999,2017-06-29T11:30:01+0000,He%20entered%20prison%20in%20February%202016.,52,1,0,2,7,0,0
5281959998_10151216502779999,2017-06-29T04:55:01+0000,The%20Department%20of%20Homeland%20Security%20will%20offer%20guidance%20on%20how%20to%20enforce%20a%20limited%20travel%20ban%20on%20visitors%20from%206%20Muslim-majority%20countries.,91,4,18,10,123,5,0
5281959998_10151216820139999,2017-06-29T13:55:10+0000,It%u2019s%20not%20unusual%20for%20people%20dealing%20with%20illness%20to%20use%20quirky%20dialects%20and%20inside%20jokes%20to%20attempt%20to%20maintain%20a%20sense%20of%20connection%20with%20their%20intimates.,115,0,0,10,0,0,0
5281959998_10151216468929999,2017-06-29T02:55:01+0000,There%20may%20have%20been%20a%20sinister%20motive%20behind%20the%20Ukraine%20cyberattack.,160,3,3,3,46,26,0
5281959998_10151216329714999,2017-06-29T01:55:00+0000,The%20Academy%20invited%20hundreds%20of%20women%20and%20minorities%20to%20become%20members%2C%20but%20it%20still%20has%20a%20ways%20to%20go%20before%20reaching%20its%20goal.,393,0,0,26,0,1,6
5281959998_10151216162939999,2017-06-28T21:55:00+0000,If%20Mitch%20McConnell%20can%27t%20get%20Republicans%20to%20work%20together%20on%20fixing%20the%20health%20bill%2C%20he%20might%20have%20to%20turn%20to%20Democrats.,357,177,4,23,9,14,1
5281959998_10151215410114999,2017-06-28T06:55:00+0000,One%20woman%27s%20mission%20to%20save%20baby%20kangaroos.,239,1,14,31,1,0,0
5281959998_10151216817004999,2017-06-29T13:25:07+0000,ISIS%20has%20carried%20out%20nearly%201%2C500%20attacks%20across%20cities%20in%20Iraq%20and%20Syria%20after%20they%20were%20declared%20freed%20from%20the%20militants%u2019%20control%20in%20recent%20months.,74,0,25,4,4,2,0
5281959998_10151216314709999,2017-06-29T05:25:01+0000,Homeland%20security%20officials%20said%20the%20ban%20will%20be%20lifted%20if%20airlines%20carry%20out%20new%20security%20measures.,121,4,0,5,4,11,0
5281959998_10151215536079999,2017-06-28T07:55:00+0000,Many%20features%20of%20an%20evacuated%20London%20apartment%20building%20would%20never%20make%20it%20past%20New%20York%20regulators%2C%20city%20officials%20said.,210,1,21,2,7,31,0
5281959998_10151216742429999,2017-06-29T10:55:01+0000,The%20U.S.%20says%20its%20goal%20in%20Syria%20is%20to%20help%20its%20allies%20defeat%20ISIS%2C%20not%20to%20fight%20the%20government.%20But%20it%27s%20getting%20increasingly%20harder.,142,6,17,2,13,17,0
5281959998_10151215863634999,2017-06-28T15:36:14+0000,As%20Pride%20Month%20comes%20to%20a%20close%2C%20the%20actor%20Telly%20Leung%20joins%20us%20to%20talk%20about%20being%20an%20actor%20who%20is%20out%2C%20and%20to%20sing%20a%20song%20from%20the%20Broadway%20musical%20%22Aladdin%2C%22%20in%20which%20he%20stars%20as%20the%20title%20character.%20Leave%20your%20questions%20for%20The%20Times%27s%20Erik%20Piepenburg%20in%20the%20comments.,211,2,0,34,1,4,33
5281959998_10151215273979999,2017-06-28T02:55:00+0000,Uber%20and%20Lyft%20have%20poached%20each%20other%27s%20drivers%2C%20undercut%20each%20other%27s%20prices%20and%20used%20ruthless%20tactics%20to%20get%20ahead.%20%0A%0AAnd%20while%20Lyft%27s%20founders%20won%27t%20pounce%20on%20their%20rival%27s%20struggles%2C%20they%20clearly%20sense%20an%20opportunity.,366,8,0,20,1,2,2
5281959998_10151215614694999,2017-06-28T12:55:00+0000,Stephen%20Colbert%20found%20something%20he%20has%20in%20common%20with%20President%20Donald%20J.%20Trump%3A%20They%20enjoyed%20taking%20shots%20at%20CNN%20this%20week.,262,48,2,13,1,1,0
5281959998_10151216734074999,2017-06-29T10:26:00+0000,Donald%20J.%20Trump%20and%20Emmanuel%20Macron%20are%20to%20review%20a%20traditional%20military%20parade%20which%20will%20mark%20the%20100th%20anniversary%20of%20the%20entry%20of%20the%20U.S.%20into%20World%20War%20I.,275,73,9,2,65,23,0
5281959998_10151215907689999,2017-06-28T17:55:01+0000,%22Not%20all%20teachers%20are%20so%20lucky%20to%20have%20such%20dramatic%20evidence%20of%20climate%20change%20to%20prove%20the%20case.%22,395,5,2,33,1,8,1
5281959998_10151215933824999,2017-06-28T18:25:00+0000,%22That%20extra%20step%20of%20taking%20out%20liquids%20and%20laptops%20could%20be%20eliminated.%22,198,1,0,8,4,3,0
